codigo,descripcion,uvr1,uvr2,uvr3,valor_facturar_nivel1,valor_facturar_nivel2,valor_facturar_nivel3,anestesia_nivel1,anestesia_nivel2,anestesia_nivel3
,HABITACION,,,,6.7,6.7,6.7,12.840561,14.791158,17.753562
381110,HABITACIÓN INDIVIDUAL. INSTITUCIONES PRIMER NIVEL,5.87,0,0,39.329,0.0,0.0,,,
381121,HABITACIÓ DE DOS CAMAS. INSTITUCIONES PRIMER NIVEL,5.51,0,0,36.917,0.0,0.0,,,
381132,HABITACIÓN TRES CAMAS. INSTITUCIONES PRIMER NIVEL,4.46,0,0,29.882,0.0,0.0,,,
381143,HABITACIÓN MÚLTIPLE ( HASTA  4 CAMAS).INSTITUCIONES  PRIMER NIVEL,4.1,0,0,27.47,0.0,0.0,,,
381210,HABITACIÓN INDIVIDUAL. INSTITUCIONES SEGUNDO NIVEL,0,8.31,0,0.0,55.67700000000001,0.0,,,
381221,HABITACIÓN DE DOS CAMAS.INSTITUCIONES SEGUNDO NIVEL,0,7.56,0,0.0,50.652,0.0,,,
381232,HABITACIÓN TRES CAMAS. INSTITUCIONES SEGUNDO NIVEL,0,6.43,0,0.0,43.080999999999996,0.0,,,
381243,HABITACIÓN MÚLTIPLE (HASTA 4 CAMAS). INSTITUCIONES SEGUNDO NIVEL,0,5.28,0,0.0,35.376000000000005,0.0,,,
381310,HABITACIÓN INDIVIDUAL. INSTITUCIONES TERCER NIVEL,0,0,12.25,0.0,0.0,82.075,,,
381321,HABITACIÓN DE DOS CAMAS. INSTITUCIONES TERCER NIVEL,0,0,10.48,0.0,0.0,70.21600000000001,,,
381332,HABITACIÓN TRES CAMAS. INSTITUCIONES TERCER NIVEL,0,0,8.71,0.0,0.0,58.357000000000006,,,
381343,HABITACIÓN MÚLTIPLE (HASTA 4 CAMAS). INSTITUCIONES TERCER NIVEL,,0,7.85,0.0,0.0,52.595,,,
,,0,,,0.0,0.0,0.0,,,
381344,"CAMA DE ACOMPAÑANTE Y DIETA: exclusivamente en casos en condición crítica, por indicación de médico tratante.",0,7.85,7.85,0.0,52.595,52.595,,,
387401, CUIDADO Y MANEJO DIARIO. INSTITUCIONES DE TERCER NIVEL,0,0,1.85,0.0,0.0,12.395000000000001,,,
387452, CUIDADO Y MANEJO DIARIO. INSTITUCIONES DE SEGUNDO NIVEL,0,1.33,0,0.0,8.911000000000001,0.0,,,
387503, CUIDADO Y MANEJO DIARIO. INSTITUCIONES DE PRIMER NIVEL,0.92,0,0,6.164000000000001,0.0,0.0,,,
382110,DESAYUNO. INSTITUCIONES DE PRIMER Y SEGUNDO NIVEL ,0.34,0.34,0,2.278,2.278,0.0,,,
382121,ALMUERZO. INSTITUCIONES DE PRIMER Y SEGUNDO NIVEL,0.68,0.68,0,4.556,4.556,0.0,,,
382132,MERIENDA. INSTITUCIONES DE PRIMER Y SEGUNDO NIVEL,0.68,0.68,0,4.556,4.556,0.0,,,
382143,REFRIGERIOS* SE RECONOCE DOS REFRIGERIOS DIARIOS. INSTITUCIONES DE PRIMER Y SEGUNDO NIVEL,0.07,0.07,0,0.4690000000000001,0.4690000000000001,0.0,,,
382210,DESAYUNO. INSTITUCIONES TERCER NIVEL,0,0,0.44,0.0,0.0,2.948,,,
382221,ALMUERZO. INSTITUCIONES TERCER NIVEL,0,0,0.88,0.0,0.0,5.896,,,
382232,MERIENDA. INSTITUCIONES  TERCER NIVEL,0,0,0.88,0.0,0.0,5.896,,,
382243,REFRIGERIOS* SE RECONOCE DOS REFRIGERIOS DIARIOS. INSTITUCIONES TERCER NIVEL,0,0,0.08,0.0,0.0,0.536,,,
383110,SALA ESPECIAL INSTITUCIONES DE TERCER NIVEL,0,0,11.39,0.0,0.0,76.313,,,
383210,CUIDADOS INTENSIVOS DE ADULTOS Y NINOS/NEONATOLOGÍA INSTITUCIONES DE SEGUNDO NIVEL,0,30.58,0,0.0,204.886,0.0,,,
383221,"CUIDADOS INTENSIVOS DE ADULTOS Y NINOS/NEONATOLOGÍA, INSTITUCIONES DE TERCER NIVEL",0,0,38.22,0.0,0.0,256.074,,,
383310," SALA ESPECIAL, ADULTOS Y NINOS; INCLUYE ATENCIÓN EN INCUBADORA DE RECIÉN NACIDOS. INSTITUCIONES DE SEGUNDO NIVEL",0,18.18,0,0.0,121.806,0.0,,,
